   50.089   50.018   49.960   49.917   49.890   49.878   49.881   49.900   49.935   49.985   50.051   50.130   50.224   50.331   50.451   50.582   50.722   50.872   51.029   51.192   51.360   51.531   51.703   51.874   52.043   52.208   52.368   52.520   52.663   52.795   52.915   53.022   53.115   53.192   53.253   53.297   53.324   53.333   53.324   53.298   53.255   53.195   53.119   53.028   52.923   52.805   52.676   52.537   52.388   52.233   52.072   51.908   51.741   51.574   51.407   51.243   51.082   50.927   50.779   50.638   50.506   50.384   50.273   50.175
   46.278   46.081   45.919   45.795   45.710   45.665   45.660   45.695   45.773   45.892   46.050   46.248   46.488   46.767   47.083   47.437   47.826   48.246   48.693   49.164   49.654   50.157   50.669   51.185   51.698   52.206   52.699   53.174   53.626   54.046   54.431   54.777   55.076   55.326   55.523   55.663   55.743   55.763   55.724   55.626   55.471   55.261   55.004   54.699   54.350   53.965   53.549   53.109   52.650   52.179   51.701   51.219   50.740   50.267   49.805   49.356   48.921   48.504   48.107   47.732   47.384   47.063   46.770   46.509
   42.006   41.729   41.501   41.321   41.190   41.108   41.076   41.096   41.170   41.309   41.504   41.767   42.092   42.478   42.930   43.439   44.006   44.624   45.295   46.009   46.758   47.540   48.346   49.172   50.008   50.839   51.653   52.445   53.201   53.907   54.560   55.144   55.655   56.079   56.412   56.642   56.767   56.786   56.700   56.509   56.215   55.823   55.348   54.795   54.183   53.519   52.811   52.075   51.318   50.553   49.795   49.053   48.328   47.629   46.953   46.308   45.690   45.105   44.552   44.035   43.552   43.107   42.698   42.332
   37.595   37.273   37.003   36.783   36.610   36.488   36.418   36.404   36.468   36.593   36.787   37.057   37.409   37.836   38.345   38.924   39.582   40.306   41.101   41.958   42.881   43.861   44.884   45.943   47.024   48.112   49.190   50.244   51.255   52.203   53.089   53.893   54.598   55.184   55.635   55.947   56.115   56.134   56.002   55.717   55.281   54.699   53.996   53.182   52.284   51.329   50.343   49.333   48.321   47.328   46.371   45.463   44.596   43.777   43.010   42.282   41.596   40.938   40.346   39.791   39.278   38.798   38.359   37.955
   33.391   33.077   32.802   32.556   32.335   32.166   32.052   32.000   32.016   32.084   32.219   32.441   32.736   33.122   33.610   34.181   34.850   35.602   36.425   37.335   38.324   39.379   40.484   41.655   42.880   44.122   45.367   46.594   47.784   48.914   49.965   50.915   51.742   52.429   52.989   53.403   53.637   53.681   53.521   53.146   52.576   51.809   50.875   49.810   48.653   47.446   46.204   44.967   43.767   42.632   41.581   40.616   39.739   38.950   38.223   37.553   36.939   36.378   35.849   35.356   34.908   34.479   34.080   33.722
   29.629   29.381   29.141   28.905   28.674   28.451   28.275   28.155   28.059   28.004   28.007   28.088   28.262   28.558   28.962   29.452   30.046   30.716   31.481   32.322   33.262   34.288   35.385   36.542   37.740   39.006   40.321   41.625   42.897   44.107   45.229   46.240   47.082   47.790   48.370   48.861   49.194   49.321   49.199   48.800   48.153   47.245   46.121   44.834   43.432   41.964   40.480   39.078   37.753   36.586   35.597   34.743   34.019   33.368   32.857   32.402   32.007   31.633   31.284   30.967   30.686   30.408   30.149   29.894
   26.435   26.274   26.077   25.839   25.603   25.361   25.115   24.871   24.633   24.418   24.252   24.165   24.146   24.246   24.499   24.854   25.322   25.856   26.473   27.184   27.963   28.845   29.816   30.856   31.949   33.130   34.369   35.640   36.917   38.115   39.200   40.128   40.868   41.421   41.825   42.337   42.905   43.232   43.237   42.883   42.214   41.211   39.925   38.458   36.858   35.183   33.510   31.982   30.629   29.526   28.729   28.139   27.733   27.454   27.248   27.103   27.024   26.952   26.894   26.865   26.836   26.786   26.702   26.573
   23.749   23.690   23.546   23.368   23.149   22.882   22.565   22.203   21.806   21.396   21.014   20.645   20.346   20.195   20.277   20.488   20.791   21.171   21.635   22.134   22.687   23.322   24.065   24.875   25.798   26.814   27.880   29.018   30.169   31.268   32.261   33.024   33.508   33.672   33.725   34.202   35.134   35.797   36.001   35.741   35.101   34.062   32.730   31.168   29.427   27.562   25.722   24.028   22.635   21.787   21.386   21.235   21.235   21.396   21.642   21.915   22.242   22.580   22.897   23.182   23.421   23.594   23.685   23.742
   21.511   21.578   21.551   21.441   21.247   20.961   20.577   20.093   19.517   18.864   18.161   17.438   16.763   16.302   16.197   16.336   16.528   16.755   17.009   17.287   17.596   17.967   18.417   18.949   19.588   20.374   21.244   22.209   23.196   24.136   24.932   25.469   25.639   25.456   25.338   25.688   26.601   27.603   27.994   27.832   27.258   26.325   25.016   23.443   21.648   19.692   17.659   15.872   14.676   14.172   14.147   14.437   14.934   15.613   16.359   17.112   17.871   18.623   19.287   19.874   20.379   20.774   21.102   21.351
   19.646   19.826   19.889   19.842   19.679   19.385   18.943   18.342   17.584   16.679   15.649   14.523   13.461   12.798   12.479   12.411   12.519   12.623   12.695   12.769   12.815   12.929   13.114   13.365   13.695   14.201   14.880   15.622   16.390   17.155   17.769   18.086   18.052   17.946   18.036   18.211   18.609   19.372   19.792   19.696   19.271   18.462   17.345   15.878   14.114   12.134   10.243    8.953    8.372    8.214    8.258    8.474    9.180   10.377   11.651   12.829   13.992   15.056   16.013   16.876   17.658   18.356   18.912   19.344
   17.932   18.208   18.344   18.361   18.245   17.961   17.477   16.771   15.837   14.682   13.323   11.893   10.804   10.078    9.591    9.225    8.981    8.768    8.639    8.565    8.431    8.313    8.265    8.250    8.361    8.615    9.076    9.661   10.260   10.867   11.405   11.638   11.676   11.869   12.183   12.249   12.035   12.008   11.921   11.741   11.518   11.045   10.321    9.133    7.628    6.062    4.998    4.455    4.345    4.373    4.383    4.430    4.939    6.151    7.685    9.150   10.608   11.961   13.167   14.263   15.296   16.169   16.905   17.514
